광역시도,지자체명,년도,월,일,요일,배출량(kg),배출량비율(일),배출회수,배출회수비율(일)
서울특별시,종로구,2017,06,29,5,"2,526,250",0.023831968,"1,838",0.031881444
서울특별시,종로구,2017,06,30,6,"2,643,500",0.024938073,"1,820",0.031569221
서울특별시,종로구,2017,07,01,7,"2,544,950",0.021519313,"1,699",0.025727261
서울특별시,종로구,2017,07,02,1,"2,921,700",0.024704995,"1,802",0.027286948
서울특별시,종로구,2017,07,03,2,"3,143,400",0.026579622,"2,055",0.031118023
서울특별시,종로구,2017,07,04,3,"2,769,500",0.023418039,"1,881",0.028483212
서울특별시,종로구,2017,07,05,4,"2,869,400",0.024262763,"2,015",0.030512319
서울특별시,종로구,2017,07,06,5,"2,377,750",0.020105522,"1,762",0.026681244
서울특별시,종로구,2017,07,07,6,"2,539,750",0.021475344,"1,712",0.025924114
서울특별시,종로구,2017,07,08,7,"2,621,400",0.022165751,"1,769",0.026787242
서울특별시,종로구,2017,07,09,1,"3,062,750",0.025897671,"1,903",0.028816349
서울특별시,종로구,2017,07,10,2,"2,592,050",0.021917576,"1,604",0.024288715
서울특별시,종로구,2017,07,11,3,"3,096,850",0.02618601,"2,094",0.031708584
서울특별시,종로구,2017,07,12,4,"2,849,150",0.024091535,"1,963",0.029724905
서울특별시,종로구,2017,07,13,5,"2,705,300",0.022875184,"1,895",0.028695208
서울특별시,종로구,2017,07,14,6,"2,630,850",0.022245657,"1,803",0.02730209
서울특별시,종로구,2017,07,15,7,"2,563,100",0.021672784,"1,676",0.025378981
서울특별시,종로구,2017,07,16,1,"3,286,800",0.027792169,"2,063",0.031239164
서울특별시,종로구,2017,07,17,2,"3,022,900",0.025560711,"1,997",0.030239753
서울특별시,종로구,2017,07,18,3,"2,712,750",0.022938179,"1,815",0.027483801
서울특별시,종로구,2017,07,19,4,"2,858,050",0.024166791,"1,952",0.029558336
서울특별시,종로구,2017,07,20,5,"2,692,750",0.022769065,"1,848",0.027983507
서울특별시,종로구,2017,07,21,6,"2,550,650",0.021567511,"1,818",0.027529229
서울특별시,종로구,2017,07,22,7,"2,702,400",0.022850662,"1,821",0.027574657
서울특별시,종로구,2017,07,23,1,"3,214,000",0.027176594,"1,930",0.029225199
서울특별시,종로구,2017,07,24,2,"3,394,950",0.028706652,"2,195",0.033237985
서울특별시,종로구,2017,07,25,3,"2,753,150",0.023279788,"1,889",0.028604353
서울특별시,종로구,2017,07,26,4,"2,881,650",0.024366345,"1,969",0.02981576
