"date","totaldisQuan_t"
2020-03-08,460.1529
2020-03-09,251.00805
2020-03-10,172.3904
2020-03-11,282.2547
2020-03-12,234.9065
2020-03-13,191.70985
2020-03-14,233.9679
2020-03-15,371.42625
2020-03-16,272.241
2020-03-17,237.79355
2020-03-18,303.6319
2020-03-19,229.52855
2020-03-20,258.058
2020-03-21,281.92605
2020-03-22,490.0168
2020-03-23,271.683
2020-03-24,240.4906
2020-03-25,303.655
2020-03-26,256.419
2020-03-27,237.6387
2020-03-28,280.1862
2020-03-29,457.488
2020-03-30,247.63175
2020-03-31,215.2188
2020-04-01,252.712
2020-04-02,231.002
2020-04-03,212.4108
2020-04-04,232.636
2020-04-05,458.5707
2020-04-06,244.1101
2020-04-07,233.5347
2020-04-08,254.984
2020-04-09,210.9285
2020-04-10,191.9147
2020-04-11,254.796
2020-04-12,378.5325
2020-04-13,244.59935
2020-04-14,213.273
2020-04-15,328.0099
2020-04-16,257.933
2020-04-17,169.3384
2020-04-18,285.92655
2020-04-19,382.98625
2020-04-20,296.67225
2020-04-21,215.4042
2020-04-22,254.512
2020-04-23,229.39175
2020-04-24,211.3722
2020-04-25,257.281
2020-04-26,487.907
2020-04-27,265.696
2020-04-28,235.3321
2020-04-29,279.54675
2020-04-30,279.888
2020-05-01,309.9877
2020-05-02,282.1434
2020-05-03,461.90385
2020-05-04,291.82965
2020-05-05,369.9828
2020-05-06,337.77455
2020-05-07,260.196
2020-05-08,233.52995
2020-05-09,252.252
2020-05-10,645.232
2020-05-11,348.956
2020-05-12,265.68
2020-05-13,285.05505
2020-05-14,282.28095
2020-05-15,185.8117
2020-05-16,373.8588
2020-05-17,684.5355
2020-05-18,263.866
2020-05-19,318.1431
2020-05-20,363.2148
2020-05-21,309.0615
2020-05-22,261.66
2020-05-23,369.0516
2020-05-24,635.3344
2020-05-25,323.3813
2020-05-26,217.8234
2020-05-27,317.361
2020-05-28,240.63215
2020-05-29,239.03615
2020-05-30,317.8296
2020-05-31,576.657
2020-06-01,376.9812
2020-06-02,291.94935
2020-06-03,372.4512
2020-06-04,341.48675
2020-06-05,284.6193
2020-06-06,405.7725
2020-06-07,768.97275
2020-06-08,414.395
2020-06-09,347.61625
2020-06-10,316.6251
2020-06-11,434.4717
2020-06-12,370.71
2020-06-13,468.32715
2020-06-14,774.90525
2020-06-15,417.36125
2020-06-16,353.1489
2020-06-17,401.43875
2020-06-18,371.6364
2020-06-19,320.3937
2020-06-20,432.4528
2020-06-21,770.15575
2020-06-22,451.282
2020-06-23,408.19375
2020-06-24,329.6958
2020-06-25,402.9525
2020-06-26,317.416
2020-06-27,435.7873
2020-06-28,771.659
2020-06-29,328.5986
2020-06-30,295.4931
2020-07-01,430.5002
2020-07-02,343.98225
2020-07-03,318.0628
2020-07-04,408.50625
2020-07-05,737.7541
2020-07-06,415.52
2020-07-07,375.936
2020-07-08,401.55875
2020-07-09,341.50745
2020-07-10,314.6737
2020-07-11,435.6534
2020-07-12,680.50455
2020-07-13,311.6762
2020-07-14,448.8484
2020-07-15,432.4437
2020-07-16,399.1075
2020-07-17,373.7232
2020-07-18,474.2307
2020-07-19,810.7686
2020-07-20,448.5299
2020-07-21,409.675
2020-07-22,398.78875
2020-07-23,226.09715
2020-07-24,485.1468
2020-07-25,501.0418
2020-07-26,814.572
2020-07-27,442.793
2020-07-28,379.7016
2020-07-29,394.01625
2020-07-30,432.2097
2020-07-31,346.5111
2020-08-01,401.56875
2020-08-02,678.5955
2020-08-03,410.14
2020-08-04,446.9322
2020-08-05,452.4228
2020-08-06,376.2444
2020-08-07,345.26795
2020-08-08,343.758
2020-08-09,682.22055
2020-08-10,332.4827
2020-08-11,349.8185
2020-08-12,370.6296
2020-08-13,313.8949
2020-08-14,292.48905
2020-08-15,340.48395
2020-08-16,566.202
2020-08-17,519.309
2020-08-18,377.0064
2020-08-19,436.1656
2020-08-20,345.8671
2020-08-21,311.8775
2020-08-22,313.3614
2020-08-23,858.0004
2020-08-24,377.5176
2020-08-25,346.21095
2020-08-26,397.11
2020-08-27,285.2661
2020-08-28,316.2489
2020-08-29,313.6342
2020-08-30,719.7664
2020-08-31,405.8975
