"Month","gu","FW_t","TotalHouses","age_05","age1929","age65_","mem1","AvgMem","IncLv","nBusiness","Suv1yr","NO2","pm10","avg_temp","search","Holidays"
2019-10-01,"도봉구",1438.3344,138508,0.0340920680821449,0.146567395204012,0.175976865989525,0.322976972496932,2.41,-1,3079,72.1,0.0236451612903226,24.9677419354839,16.3709677419355,0.732168798653691,0
2019-11-01,"도봉구",1558.295599,138508,0.0340920680821449,0.146567395204012,0.175976865989525,0.323948035442197,2.41,-1,3079,71.6479227304086,0.0156333333333333,32.6333333333333,7.58,0.299642694049147,0
2019-12-01,"도봉구",1793.977798,138508,0.0340920680821449,0.146567395204012,0.175976865989525,0.324984838420885,2.41,-1,3079,70.8903151778051,0.0143548387096774,37.5806451612903,1.41612903225806,1.10811771114807,0
2020-01-01,"도봉구",1393.326459,138595,0.0330336495208883,0.146163785556005,0.181042030201849,0.326296486148914,2.39,-1,3093,70.3,0.0261290322580645,38,1.6258064516129,0.097178355239956,1
2020-02-01,"도봉구",1349.70551,138595,0.0330336495208883,0.146163785556005,0.181042030201849,0.327624145966654,2.39,-1,3093,70.3253170661565,0.0255925925925926,37.6666666666667,2.53448275862069,1.0010794431651,0
2020-03-01,"도봉구",1612.312949,138595,0.0330336495208883,0.146163785556005,0.181042030201849,0.328193657779862,2.39,-1,3093,71.3166750908478,0.0211935483870968,40.7096774193548,7.73548387096774,1.145774573422,0
2020-04-01,"도봉구",1279.45932,138966,0.0323734676538415,0.145736739895618,0.18428207306712,0.329308555116634,2.37,-1,3106,73.6,0.0189333333333333,42.7,11.1233333333333,2.80716557076691,0
2020-05-01,"도봉구",1450.732259,138966,0.0323734676538415,0.145736739895618,0.18428207306712,0.330488885048284,2.37,-1,3106,77.5012177195389,0.0189032258064516,34.5161290322581,18.0064516129032,2.17374975321955,0
2020-06-01,"도봉구",1840.380189,138966,0.0323734676538415,0.145736739895618,0.18428207306712,0.332023660463711,2.37,-1,3106,83.3462541753905,0.0175333333333333,36.8666666666667,23.8866666666667,1.0272504615253,0
2018-01-01,"동대문구",140.21445,160489,0.0391745966310534,0.166494898485005,0.160563170611609,0.438954706011066,2.18,0,5127,70.6,0.0384516129032258,54.8709677419355,-3.97741935483871,-1.01123273626956,0
2018-02-01,"동대문구",132.7146,160489,0.0391745966310534,0.166494898485005,0.160563170611609,0.440634825572691,2.18,0,5127,70.665066194529,0.0374074074074074,50.6296296296296,-1.64642857142857,-1.285906237316,1
2018-03-01,"동대문구",122.75435,160489,0.0391745966310534,0.166494898485005,0.160563170611609,0.442697007271526,2.18,0,5127,70.5784504914539,0.0345,37.5,8.08064516129032,-1.33998229622417,0
2018-04-01,"동대문구",138.0967,160757,0.0389535200327885,0.166559186937344,0.161898865873896,0.443559841519025,2.17,0,5099,70.5,0.0423333333333333,43.4285714285714,12.9866666666667,-1.13630695247946,0
2018-05-01,"동대문구",130.0046,160757,0.0389535200327885,0.166559186937344,0.161898865873896,0.444285197971061,2.17,0,5099,70.5409651298514,0.029,32.4761904761905,18.1677419354839,-1.40969092227493,0
2018-06-01,"동대문구",138.953749,160757,0.0389535200327885,0.166559186937344,0.161898865873896,0.444117518988287,2.17,0,5099,70.6182094925259,0.0385714285714286,41.5714285714286,23.1366666666667,-1.68107127060619,0
2018-07-01,"동대문구",195.28955,162232,0.0390950375974167,0.166991864352628,0.162356371022034,0.444042247235583,2.16,0,5061,70.6,0.0216666666666667,21.962962962963,27.7967741935484,-0.698227894588396,0
2018-08-01,"동대문구",198.6286,162232,0.0390950375974167,0.166991864352628,0.162356371022034,0.445395841564599,2.16,0,5061,70.426628841621,0.0195161290322581,17.3870967741935,28.7612903225806,-1.19275215129729,0
2018-09-01,"동대문구",263.75805,162232,0.0390950375974167,0.166991864352628,0.162356371022034,0.446422407416539,2.16,0,5061,70.3264893162202,0.0206666666666667,15.4666666666667,21.4966666666667,-1.76723571857559,1
2018-10-01,"동대문구",308.7168,161820,0.0384942479859331,0.166975049705216,0.163742774068243,0.447312662453651,2.15,0,5095,70.6,0.0339677419354839,23.5483870967742,13.0548387096774,-1.20322309098803,0
2018-11-01,"동대문구",283.684249,161820,0.0384942479859331,0.166975049705216,0.163742774068243,0.448208031177544,2.15,0,5095,71.4043713555166,0.048,48.5357142857143,7.79333333333333,-1.05440111686834,0
2018-12-01,"동대문구",311.42565,161820,0.0384942479859331,0.166975049705216,0.163742774068243,0.448745519713262,2.15,0,5095,72.3239813907416,0.034741935483871,40.5806451612903,-0.606451612903226,-0.406082926719761,0
2019-01-01,"동대문구",251.73935,162228,0.0377880317231435,0.168438356164384,0.165470800288392,0.449326705493935,2.14,0,5050,72.8,0.0138064516129032,62.0645161290323,-0.896774193548387,-0.701059064524421,0
2019-02-01,"동대문구",258.48035,162228,0.0377880317231435,0.168438356164384,0.165470800288392,0.451423604904179,2.14,0,5050,72.4558857363124,0.0185714285714286,54.75,0.985714285714286,-0.473987091704909,1
2019-03-01,"동대문구",229.2609,162228,0.0377880317231435,0.168438356164384,0.165470800288392,0.452893458589146,2.14,0,5050,71.6442517874802,0.0320416666666667,68.5416666666667,7.09354838709677,-0.461577248984366,0
2019-04-01,"동대문구",292.033999,162851,0.0376160530561239,0.169047131177111,0.167073110900113,0.454165742588896,2.13,0,5052,70.9,0.0362333333333333,33.3,12.12,0.670412901370123,0
2019-05-01,"동대문구",267.78741,162851,0.0376160530561239,0.169047131177111,0.167073110900113,0.455360712506381,2.13,0,5052,70.6091227362706,0.0491290322580645,42.5161290322581,19.4193548387097,0.219936903760552,0
2019-06-01,"동대문구",344.147646,162851,0.0376160530561239,0.169047131177111,0.167073110900113,0.455778595157537,2.13,0,5052,70.5619744223004,0.0412333333333333,22.1333333333333,22.5033333333333,-0.537644399059475,0
2019-07-01,"동대문구",534.682557,163606,0.0371835602840563,0.16973547904926,0.169040054710562,0.456368061899536,2.12,0,5051,70.4,0.0316129032258065,21.8709677419355,25.8774193548387,0.256454350923673,0
2019-08-01,"동대문구",399.221713,163606,0.0371835602840563,0.16973547904926,0.169040054710562,0.457599637792,2.12,0,5051,69.8779936889755,0.0319032258064516,21.5806451612903,27.1903225806452,0.47683815924859,0
