"Month","gu","type","FW"
2019-04-01,"노원구","FW_t",7.29026621087673
2019-04-01,"노원구","pred",7.21072123860663
2019-05-01,"노원구","FW_t",7.17975264958261
2019-05-01,"노원구","pred",7.25922002631011
2019-06-01,"노원구","FW_t",7.29535128065733
2019-06-01,"노원구","pred",7.29628821714526
2019-07-01,"노원구","FW_t",7.5728210146905
2019-07-01,"노원구","pred",7.29484433215247
2019-08-01,"노원구","FW_t",7.26705644138832
2019-08-01,"노원구","pred",7.32391487133754
2019-09-01,"노원구","FW_t",7.5023784659662
2019-09-01,"노원구","pred",7.33150994797057
2019-10-01,"노원구","FW_t",7.17681750807296
2019-10-01,"노원구","pred",7.29551885678662
2019-11-01,"노원구","FW_t",7.30135824052822
2019-11-01,"노원구","pred",7.28909864711988
2019-12-01,"노원구","FW_t",7.40996202611027
2019-12-01,"노원구","pred",7.29197978932908
2020-01-01,"노원구","FW_t",7.25125113925268
2020-01-01,"노원구","pred",7.27647614579733
2020-02-01,"노원구","FW_t",7.22219211462214
2020-02-01,"노원구","pred",7.30385748034825
2020-03-01,"노원구","FW_t",7.43704310148298
2020-03-01,"노원구","pred",7.34781131357602
2020-04-01,"노원구","FW_t",7.2061927692562
2020-04-01,"노원구","pred",7.35253422302149
2020-05-01,"노원구","FW_t",7.29124373242825
2020-05-01,"노원구","pred",7.3988385970514
2020-06-01,"노원구","FW_t",7.61271703823856
2020-06-01,"노원구","pred",7.44054477749554
2018-01-01,"도봉구","FW_t",7.52762498473764
2018-01-01,"도봉구","pred",7.37988545544153
2018-02-01,"도봉구","FW_t",7.34565179085014
2018-02-01,"도봉구","pred",7.39080548839856
2018-03-01,"도봉구","FW_t",7.33747095077194
2018-03-01,"도봉구","pred",7.43050474888156
2018-04-01,"도봉구","FW_t",7.52979215143908
2018-04-01,"도봉구","pred",7.42704828235769
2018-05-01,"도봉구","FW_t",7.38007771770997
2018-05-01,"도봉구","pred",7.44978689040159
2018-06-01,"도봉구","FW_t",7.38590802008737
2018-06-01,"도봉구","pred",7.47247193306963
2018-07-01,"도봉구","FW_t",7.68109833240831
2018-07-01,"도봉구","pred",7.46887315656211
2018-08-01,"도봉구","FW_t",7.32977604934981
2018-08-01,"도봉구","pred",7.47208732654503
2018-09-01,"도봉구","FW_t",7.3643347054626
2018-09-01,"도봉구","pred",7.44936859160477
2018-10-01,"도봉구","FW_t",7.50887670061758
2018-10-01,"도봉구","pred",7.404388164023
2018-11-01,"도봉구","FW_t",7.43135322822428
2018-11-01,"도봉구","pred",7.38778153755946
2018-12-01,"도봉구","FW_t",7.5219777516738
2018-12-01,"도봉구","pred",7.36016559433955
2019-01-01,"도봉구","FW_t",7.22457261739469
2019-01-01,"도봉구","pred",7.32917910791065
2019-02-01,"도봉구","FW_t",7.23576016138228
2019-02-01,"도봉구","pred",7.33990452600347
2019-03-01,"도봉구","FW_t",7.26623953442919
2019-03-01,"도봉구","pred",7.36432572696551
2019-04-01,"도봉구","FW_t",7.43722256226429
2019-04-01,"도봉구","pred",7.37072298847163
2019-05-01,"도봉구","FW_t",7.27683122663857
2019-05-01,"도봉구","pred",7.39804191296604
2019-06-01,"도봉구","FW_t",7.33319871790396
2019-06-01,"도봉구","pred",7.41286071832072
2019-07-01,"도봉구","FW_t",7.60000287703905
2019-07-01,"도봉구","pred",7.40437128740776
2019-08-01,"도봉구","FW_t",7.3148721887811
2019-08-01,"도봉구","pred",7.41316725856089
2019-09-01,"도봉구","FW_t",7.56701850202197
2019-09-01,"도봉구","pred",7.4004715357052
2019-10-01,"도봉구","FW_t",7.27124105644822
2019-10-01,"도봉구","pred",7.3689710053802
2019-11-01,"도봉구","FW_t",7.35134793821605
2019-11-01,"도봉구","pred",7.34139725499952
2019-12-01,"도봉구","FW_t",7.49219066684539
2019-12-01,"도봉구","pred",7.3228553588991
2020-01-01,"도봉구","FW_t",7.23944930310646
2020-01-01,"도봉구","pred",7.28972162941711
2020-02-01,"도봉구","FW_t",7.20764170689558
2020-02-01,"도봉구","pred",7.29508594773384
2020-03-01,"도봉구","FW_t",7.38542504132118
2020-03-01,"도봉구","pred",7.31831531564304
2020-04-01,"도봉구","FW_t",7.15419286142501
2020-04-01,"도봉구","pred",7.3123219240112
2020-05-01,"도봉구","FW_t",7.2798237141488
2020-05-01,"도봉구","pred",7.3392920604457
2020-06-01,"도봉구","FW_t",7.51772745371566
2020-06-01,"도봉구","pred",7.36145132585388
2018-01-01,"동대문구","FW_t",4.94317303633652
2018-01-01,"동대문구","pred",4.85473274455557
2018-02-01,"동대문구","FW_t",4.8882009578935
2018-02-01,"동대문구","pred",4.91601515316187
2018-03-01,"동대문구","FW_t",4.8101852039286
2018-03-01,"동대문구","pred",5.00175042907758
2018-04-01,"동대문구","FW_t",4.92795416440201
2018-04-01,"동대문구","pred",5.07568676351108
2018-05-01,"동대문구","FW_t",4.86756983444495
2018-05-01,"동대문구","pred",5.15112003941825
2018-06-01,"동대문구","FW_t",4.93414113675293
2018-06-01,"동대문구","pred",5.22963633306537
2018-07-01,"동대문구","FW_t",5.27448332902658
2018-07-01,"동대문구","pred",5.35613466917276
2018-08-01,"동대문구","FW_t",5.2914367492993
2018-08-01,"동대문구","pred",5.41399731250709
2018-09-01,"동대문구","FW_t",5.57503220565152
2018-09-01,"동대문구","pred",5.44423209916297
2018-10-01,"동대문구","FW_t",5.73242435179601
