"date","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
2018-02-23,NA,11.273557,NA,5.1726,NA,4.7386,2.69105,9.02815,33.4887,57.14345,4.0817,13.15885,37.54546,13.47475,11.3902,9.89045,5.27145,47.1714,12.36865,23.791,0.20285,3.90285,2.27525,4.5202,13.08245
2018-02-24,NA,12.419909,NA,5.8877,NA,5.2169,3.18725,10.5742,37.70645,55.1356,4.303,14.77807,23.1314,14.47505,11.44,10.90875,6.01945,49.07255,15.0149,26.57995,0.1501,4.2128,2.44835,5.02285,14.73765
2018-02-25,NA,15.450458,NA,8.12195,NA,5.0805,3.24925,12.055,39.93135,18.94335,5.15785,13.85835,26.00305,18.6881,12.46455,11.6492,7.8004,54.78605,4.8123,28.7405,0.2591,5.41975,2.6948,5.29765,18.87555
2018-02-26,NA,14.092439,NA,6.3598,NA,6.58615,3.66485,11.3294,43.05645,87.55855,4.89465,16.58175,47.3198,15.90885,13.83215,12.8869,6.9568,61.5339,21.30925,30.01085,0.1866,4.87485,2.9528,5.65425,16.5539
2018-02-27,NA,11.525878,NA,5.46135,NA,5.34105,2.9484,9.3209,37.01915,72.1518,4.1411,14.6978,28.1819,14.18345,12.15215,10.4206,6.185,48.00355,13.81125,25.1614,0.17685,3.77905,2.509,4.49855,14.4641
2018-02-28,NA,11.07282,NA,4.79955,NA,4.19425,2.42575,7.0701,28.2399,46.9635,3.65425,12.49795,33.5183,12.2192,10.09295,9.2917,5.1597,40.56275,12.40365,20.8611,0.13455,3.0409,2.00345,3.76045,12.06085
2018-03-01,NA,15.056547,NA,8.2618,NA,6.43245,3.8,12.26775,43.4745,22.3358,4.92895,17.52225,31.82225,18.3535,13.4806,12.69085,7.14285,62.58075,6.12605,32.3327,0.20775,5.11545,2.7891,5.63035,17.2641
2018-03-02,NA,12.152787,NA,5.69565,NA,5.11605,2.8883,9.5983,36.01435,71.45195,4.3983,14.151,42.4273,14.21445,12.1467,10.4733,5.977,50.84635,20.0327,25.8156,0.1447,3.94535,2.49215,4.7268,14.1156
2018-03-03,NA,12.546178,NA,6.05485,NA,5.3317,3.24485,10.4159,38.07345,69.19385,4.5274,14.4093,25.9919,14.5833,11.4703,10.59855,6.2535,49.36455,14.9322,26.8307,0.21475,4.43955,2.45265,5.0709,15.06185
2018-03-04,NA,16.748856,NA,9.1263,NA,6.2031,3.5808,13.2724,44.44755,22.79405,5.4932,17.2454,33.26425,19.13035,12.93265,13.5523,7.4838,58.345,5.86725,32.52825,0.2067,5.45115,2.77785,6.25895,18.2456
2018-03-05,NA,13.52701,NA,6.5018,NA,6.3148,3.72285,11.32905,42.2242,85.686,4.70965,16.75135,46.5252,16.1104,14.57055,12.17295,6.92455,60.4551,20.9842,30.10425,0.1784,4.67445,2.8962,5.4414,16.99965
2018-03-06,NA,12.158379,NA,5.64505,NA,5.1663,3.151,9.6058,37.1839,69.7667,4.4705,14.545,30.9776,14.06235,12.04845,10.04055,6.41915,48.29325,13.7915,25.54695,0.2058,3.82345,2.64295,4.5485,14.72805
2018-03-07,NA,13.178789,NA,6.06535,NA,4.9779,2.926,9.152,34.93595,47.2417,4.4749,14.568,35.3334,14.63355,11.60105,10.46445,6.25675,47.3474,12.1713,25.50865,0.18035,3.68935,2.49125,4.33595,13.94815
2018-03-08,NA,11.10791,NA,6.1524,NA,4.8171,2.7052,8.80985,32.1568,44.65595,3.6569,13.25905,23.5895,13.33955,11.0586,9.5957,5.3651,48.5804,13.0686,23.5084,0.12885,3.60335,2.1174,4.2448,13.3361
2018-03-09,NA,11.067059,NA,5.39445,NA,4.75985,2.65975,8.58185,32.74845,58.1204,3.881,12.68375,38.9361,12.69225,11.42045,9.76,5.37825,45.95255,12.26655,23.06325,0.1782,3.6433,2.27485,4.49075,12.83975
2018-03-10,NA,11.805709,NA,5.74125,NA,4.9651,3.0408,9.6586,35.38525,53.69405,4.15385,13.57205,24.22425,13.43895,11.29145,10.0619,5.7604,46.84485,14.7031,25.59085,0.1616,3.8971,2.29225,4.6012,13.49775
2018-03-11,NA,17.747477,NA,9.65765,NA,6.58415,3.81165,14.2542,46.45015,23.3085,5.89535,18.4498,34.2665,19.86395,13.5113,13.95995,7.8759,62.17825,6.49145,33.9362,0.2416,5.91345,2.70615,6.4498,19.25585
2018-03-12,NA,13.364146,NA,6.35215,NA,6.1934,3.47995,10.5012,40.31465,84.63995,4.54625,16.133,45.3026,15.41815,13.66595,12.0484,6.65895,57.50845,21.91845,28.46405,0.19605,4.4639,2.816,5.3163,15.8688
2018-03-13,NA,11.820389,NA,5.5528,NA,5.21865,2.8388,9.31515,37.0644,71.01575,4.20535,14.21115,30.1515,14.5036,12.05695,10.2479,6.20195,49.04355,13.61265,25.2171,0.1985,3.922,2.67215,4.5935,14.57235
2018-03-14,NA,13.825938,NA,6.3733,NA,5.1393,2.98225,9.91905,35.7725,49.3885,4.51985,15.0709,37.0515,15.40035,11.99435,10.38845,6.4694,49.2849,12.56805,26.21315,0.1178,3.69155,2.35845,4.683,14.281
2018-03-15,NA,10.421589,NA,5.73265,NA,4.63645,2.5976,8.05545,30.5604,46.30285,3.34325,12.29025,25.282,12.60965,10.8789,9.0759,5.1581,46.4434,12.31955,22.0962,0.1376,3.25825,2.05735,3.9402,12.18535
