기간	자치구	행정동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2019.07	양천구	목2동	13,005	4,463	2,866	2,588	2,359	572	112	28	10	2	5
2019.07	양천구	목3동	9,895	3,525	2,345	1,993	1,575	326	94	26	6	4	1
2019.07	양천구	목4동	10,156	2,913	1,910	2,071	2,546	558	121	24	10	1	2
2019.07	양천구	신월1동	10,141	4,320	2,312	1,801	1,302	316	71	14	3	2	-
2019.07	양천구	신월2동	8,709	2,426	2,043	1,909	1,707	467	105	38	10	1	3
2019.07	양천구	신월3동	8,198	3,923	1,816	1,237	885	260	62	12	1	-	2
2019.07	양천구	신월4동	6,881	1,480	1,575	1,664	1,599	420	116	21	4	2	-
2019.07	양천구	신월5동	6,415	2,141	1,482	1,308	1,117	278	69	16	-	3	1
2019.07	양천구	신월6동	2,519	658	564	555	563	138	32	7	1	1	-
2019.07	양천구	신월7동	9,252	2,930	2,556	1,868	1,487	311	77	15	7	-	1
2019.07	양천구	신정1동	7,204	1,377	1,227	1,659	2,333	490	90	18	7	-	3
2019.07	양천구	신정2동	7,151	1,551	1,277	1,523	2,197	504	79	12	5	2	1
2019.07	양천구	신정3동	17,960	4,431	4,073	3,935	4,132	1,126	200	41	17	2	3
2019.07	양천구	신정6동	8,159	1,031	1,430	2,289	2,760	517	100	18	11	2	1
2019.07	양천구	신정7동	11,572	2,903	2,567	2,618	2,827	514	102	23	18	-	-
2019.07	양천구	목5동	13,538	1,655	2,049	3,653	5,088	866	158	43	17	6	3
2019.07	양천구	신정4동	16,005	6,674	3,521	2,912	2,161	569	121	32	9	3	3
2019.07	강서구	소계	261,662	101,576	57,947	47,771	41,574	9,982	2,078	543	131	38	22
2019.07	강서구	염창동	15,241	3,495	2,941	3,764	4,075	788	130	42	4	2	-
2019.07	강서구	등촌1동	12,012	6,356	2,203	1,654	1,424	291	56	22	4	2	-
2019.07	강서구	등촌2동	8,619	2,531	1,988	1,857	1,688	414	95	34	9	3	-
2019.07	강서구	등촌3동	14,786	5,565	3,926	2,657	2,082	439	90	21	6	-	-
2019.07	강서구	화곡본동	16,465	6,947	3,686	2,910	2,217	544	107	35	14	3	2
